label,script
0," It was sometimes of course tough moments in my career, but I always had this support with my family, with my team"
0,"Yeah, I think I can call myself really, really lucky"
0,Two questions: I know this year you've won in Rio and Beijing over No
0, 1 players
0, Does it give you any positive signal for your future competition with high-ranking players
0, Next question is: What's your goal for your next year's ranking
0,"Well, it was great experience for me to play in Olympics first of all, and then beating Serena as the player who is such experienced player and won so many things, I'm not sure I even dreamed to win so many titles as she has done"
1,"Yeah, beating Kerber as well"
0, She's really on top of her game for a moment
0, She had amazing year
0,"Of course it build me a lot of confidence and I was -- yeah, I'm just trying to take match by match"
0, It's always for me really -- I try to focus on each match
0," Of course there is some matches which means a lot for me, and I try to take positive things and I try of course always think what I can improve more"
0,Because I think in those matches which I won against them it was really -- I was playing really well and keeping my emotions on a high level
0," That's why I think this was the key in that game, in that moment"
1,You had a really good win over Vesnina a few months ago
0, Curious if you will do anything different before that match to maybe start maybe a little bit faster and be prepared for that next match
0,"Yeah, I will try to prepare well, to recover, first of all"
0, She's of course really confident I think at the moment after winning doubles in Singapore
0, It's a big thing for her and for Makarova as well
0,I think she would come really confident into the match
0, I will try just to stick to my game
0, I will sit down with my coach and speak about the match
0, Probably he will see what I've done good in New Haven where I played her
0,"Yeah, it's a new match, new challenge"
0, There will be new opportunities
0, I will try to create of course opportunities for myself
0," Yeah, I will do my best"
0,"Curious, after yesterday's match, what did you do to turn things around and have such a successful day today"
0,"Well, so the fun answer, which is not the official one, will be that I got inspired by your masks"
0,And so with painting I got zen
0, I figured my inner Feng Shui or whatever you call it
0, I started to realize that I have a lot of power inside
0, That I can do it today
0," This was the fun answer, not the more -- sorry, you're going to need to work a lot again"
0,"A little more serious answer is that I stepped on the court today thinking like, Okay, well, yesterday I just managed to win two games"
0, Let's try to win a little bit more today
0, Basically let's try to have fun
0,"I chose this sport, this job"
0, I'm working hard all year long to be on a big stage if I can and to win matches
0, I enjoy the game
1," I think I should be inside a little kid who just wants to play, which is so happy to be able to win a match, and not thinking about all the frustration parts of this career or of my game, which is working or not working, why my serve is not so consistent or whatever"
0,"I just said, Okay, Well, try to have fun"
0, That's it
0," This is probably your last match of the year, because I don't think I have any chance to be No"
0, 1 in our group anymore
0,You have a slight chance
1,"No, but even if Babos wins like love and 1 there is no way, because then she would be No"
0, 2 in the team
0,I think officially
0," I don't know if mathematically at the moment, but technically you're still in it right now"
0,"Yeah, but I will not be No"
0, 1 I think mathematic-wise
0," Unless there is an injury, which I don't wish for no one"
0, So that's it
0,"That's why I said, Okay, let's try to have fun"
0," I just let the two games go and told myself, Don't get frustrated"
0, It won't help
0, Just try to enjoy
0, Make smart decisions
0, Try what you can do best and just compete
0, Because I love to compete
0," Yeah, that's it"
1,We all know that you upload a blog after Stan Wawrinka won the US Open
1," You know, when you update an article about your finding inspiration from Stan Wawrinka"
0,I have a blog you said
0,"No, I mean you upload an article on Twitter"
0,"Oh, I was watching his match, yeah"
0,You wrote a long article about
0,"I was so, so tired, dead tired, but I just couldn't keep my eyes off the screen"
0,Yes
0, We all know that
0, So I'm very interested about whether you have good connections with him or did you have conversations about your inspirations from him or something like that
1,"It's kind of funny, but you probably don't know but my coach right now, Dimitri Zavialoff, is the former coach of Stan"
1, So he was the man that taught Stan to play his first backhands or first forehands
1,My coach is born in '76 so he was just 40 this year
1," Stan, he's from '85, so it's not a big age difference"
0," But still, can you imagine my coach at a young age teaching someone from nowhere and getting him to top 10"
1,The funny situation is that the best ranking my coach had with Stan was No
0," Then they stopped in 2010, I think"
0, Then I started again in 2013
0, My best ranking so far is No
0,So I would be -- it's already awesome that I could be No
0," 9, because I think it's a big thing for a coach just to pick one small kid from, I don't know, age of eight and bringing him top 10, No"
0," 9, and taking me, a woman which is 25, not that young anymore, and bringing her top 10 again"
0,"I mean, I don't think he has to prove anything else anymore"
1," With Stan, well, we don't talk that much because now you know how big Stan is"
0, He's very busy and I understand that
0,This year in Indian Wells he sat down with me for a coffee for an hour and we talked about many things
0," I asked him some of the questions that I -- for example, I was coming back from an injury, and many time I was like -- when at the press conferences they were asking me, Okay, what happened today"
0," I was like all the time for the last three months, Oh, well you know, my knee"
0, I'm coming back from an injury and everything
0,"One advice he told me is he said, Well, listen, don't use that as an excuse anymore"
0, It's all right
0, It's done
0, Don't stick with that
0, Just look forward
0, It's okay
0, You lost because you were not good enough
0, That's it
0," Don't bring up the thing of your knee, that you have been injured for the last three months"
0,"Even you, just look forward"
0, He gave me like one or two small advices because he has been through a knee injury as well
0," That's why -- I mean, it was only one hour, but it was way much than an hour for me"
0," But for sure, like I cannot say, Hey, please, please, please tell me something for sure"
0, It's also nice for me to find out myself some of the solutions for my own career
0,He inspires me a lot
1, For sure you have the talent of Roger and then you compare Stan
0, His talent is that he's a huge worker
0, This is a talent: he works
0, He just looks straight and works no matter what
0,This is a big thing as well
0, He's not looking back
1," Well, I try to get inspired, but not only of him, as well of Roger for sure"
0, Biggest inspiration ever
0," Really tough to have his talent, so"
1,And Martina as well; Belinda as well
0, I think I can get inspired of everyone
0, I also look at other players and I get inspiration all around me
0," So, yeah, this is how I try to build my own career"
0,It sounds like your new coach has inject some big boost into you
0, Is there a specific goal you want to reach next season
0, Second question: We notice that Chinese opera mask
0, Is that a gift to you
0," As you mention, this is probably your last match of the year"
0, How do you rate this tournament and also the city
0, Are you going to stay for several days to enjoy this more
0,"Okay, so the first question was -- because you had three questions"
0, The first one is about my coach
0, He's not new
0, I'm working with him for three and a half years
0,What was the push of the day
0, What helped me to win the match today
0,"What's my goal, okay, for next season"
0," Well, I don't work with specific goals"
0, No numbers
0, For sure my best ranking was No
0, 9 and I would love to be No
0, I know it's a lucky number in China
0," I was born 8 of June, so I'm lucky"
0,"No, just try to work hard again"
0, Try to enjoy as much as I enjoy every time I'm stepping on the court
0," It's important to love your job, because it's not a job anymore if you love it"
0, It's not hard to do it if you love it
0,"This is important, because I know it's going to keep me going for several years"
0," So really, no goals in particular since I came back in 2013"
0," I believe I can be limitless, so I don't put myself any limits"
0," I don't say, This will be the goal"
0," If I reach it, okay, fine"
0,"I'm more like if you reach something, awesome"
0, You can go for even more
0, That's my spirit
0, We're working like that with my coach
0,"And about the opera mask, yesterday when I finished the press conference we have something in the players' lounge where you can do the nails, which I haven't done"
1," You can paint a mask and write your name in Chinese calligraphy, which I would love to, but probably it would be too complicated to write because Bacsinszky is kind of difficult"
0,"So the woman which was doing that, with the help of this woman here, she organized me two masks for today"
0," I would have loved to paint them, but probably I would need like three hours for both of them"
0," It was already 6:30, yesterday"
0," It would be long, so that's why -- that's why she said she's going to bring it to me today"
0,Thank you very much
0, It's an awesome gift
0, I would love to hang that on my wall back home
0, I love to do that
0,"Then the last question about Zhuhai, it's my last match"
0, If it's my last match it's amazing because it's a win
0, It's awesome to finish the year with a win
0,"About spending more days in Zhuhai, it's -- I probably need to stay here"
0, Depends what's my ranking in the group
0," As long as I have to stay here, I will, for the tournament"
0,"Then if I can do some sightseeing, for sure I would love to"
0," My coach went already to Macao, but I didn't go"
0, I was too lazy
0, And I don't like to play
0," I know Asian people love the game, but I don't care that much"
0," I love to play myself tennis or other sports but not -- I don't know, not in casinos"
0, Not yet
0, Maybe it's coming later
0,"And about the tournament, it's great"
0, First time here for me
0, Organization is fine
0, People are really nice with me as well
0,"Yeah, I think the fans are awesome as well"
0, Today I felt the push also of some fans which were cheering for me
0, I feel really honored to have so many fans rooting for me
0,"Yeah, well, I'm really happy that I got to be here in Zhuhai this year, which I couldn't do last year"
0,It's his fault
0, He asked three questions
1,There was a medical timeout during the match
0, Did it impact you for the rest of the match
0, Did it impact your moving or anything else
0,What was the first thing
1,There was a medical timeout
0, Did it impact you for the rest of the match
0,"Well, it's end of the season, so I had some blisters on my feet"
0, Also pain here and there
0,"Well, it's normal"
0, Everyone has pain
0, Everyone goes on court and feels sometimes
0," Because I was probably so quick and you need to run really fast, so it's a lot of stress into the body"
0, It's quite normal
0,But just probably today was too much
1, Not enough to beat Petra
1,You were leading 4-1 in the first set; then she came back
0, What do you think was going wrong on your side
0,"Well, I started really well, and then in 4-1 I played some stupid -- made some stupid decisions"
0,She just took the opportunity
1," I gave her this opportunity, and because she is so experienced and so aggressive player, she took it straightaway"
0,"Yeah, so it's for me just another experience that I need to be more focused, more precise with my plan"
0, With top players you cannot do these mistakes
1," I missed my chance to win a set, and then you never know what could happen afterwards"
0,So
0,Yesterday after the semifinal you gave your towel to the someone the crowd
0, What did they exactly do so that you gave them your towel
0, Were you surprised you have so many fans and China
0,"Well, I gave the towel to the fan from actually my city"
0, He was from Odessa
0, He was supporting me all the match
0, They were screaming my name
0,"You know, it's always nice to have a lot of fans, because you lost the first set and they fired me up to push myself to the limits"
0,"Like I did, I came back stronger"
0," So it's amazing that the fans can do that, to push you to go for more"
0,That's why sometimes I give the towel or wristband or headband after my match
0," Just to give them something at least, part of me, because they gave me so much as well, so much support"
0, It's really amazing feeling
0, That's why I try to give it back
0, It's also very important
0,"Questions in English, please"
1,So this week you've had Stephanie Graf at your coin toss
1, Earlier in the week you had Judy Dalton from the Original 9
0, What was it like to have so many figures of the WTA's past still involved in tennis today
0, What did you think of that
0,"Yeah, it's so great that we have that opportunity to see them and to go back in history to see what they achieved in their career"
1,"Also, you know, like Billie Jean as well"
0," We have this opportunity to go for -- it's called Power Hour with her, and she explains all the thing what they done and how they did WTA"
0,So it's just amazing
0, I all the time go
0," Sometimes it's only for players who's coming up, but me, every year I go into this meeting"
0, I always enjoy
0," It's great that you have that opportunity to see those people, because it's always very interesting how they did it"
0,Tennis was completely different then it's now
0," You know, it's -- still it's just great experience to meet them"
0,My question is: What are you going to do after Zhuhai
0, Any plans
0,"Yeah, go to Maldives tomorrow morning"
0,You were here last year as well and your performance was pretty good
0, How do you comment your game today
0,"Well, was a tough match of course"
0," Barbora is a great player, a tricky player, a different player"
0, Of course I'm so happy to be coming here for the second time
0,"Yeah, today I lost, but tomorrow there is another match"
0, I will try my best tomorrow
0, Today I try my best
1," I had just 3-1 in the first, a lot of chance, but Barbora is a different player"
0, She always come to the net
0, She run a lot
0," She is solid, solid player"
0,Bad luck today
0, I will try my best tomorrow
1,You said you were feeling a little bit injured at the US Open
0, Curious how you're feeling physically now
0,Better
1," At the US Open I had problem on my foot, but now I'm much better"
0," I practice not so much in Italy, but now I'm okay"
0," You know, I didn't play Linz and Moscow"
0," I had two weeks off for recover, for a little bit of rest, and practice"
0,But the important thing is that I'm okay right now
1,You've had some good success against Petra in the past
0, What kind of strategy will you bring into the next match
0, How will you prepare
0,All the same
0, Not different kind of tennis
1, Just my game: play aggressive
1, Petra is unbelievable player; left-handed
1, Have to be aggressive
0, A lot of slice of course
1,"Well, I have to play good game tomorrow to win against Petra, yes"
0,This is your second time here in Zhuhai
0," How do you comment on the organization of the event, and what do you like about the city"
0,"Yeah, this is my second time here"
0, Everything is perfect
0, Everything is nice
0," Hotel, organization, the court, the crowd"
0,"It's a big event here, and, well, really happy to be here for the second time"
1,During the US Open you were asked about whether you planned to play next season
0, You said that you would get back to us
0, Curious if you've come closer to making that decision one way or the other
0,"No, no"
0, I just want to finish this tournament and then I will decide
0, But I don't want to think about my future
0," Just play this tournament, stay focused I hope three or four more days, and then we will see"
0,You had a really strong start to the match
0, Curious what the key was and what made the difference in the end
0,"Yeah, I think it was really good match"
1," I think the first set I played really good, aggressive, and then I think I got broken"
0, A little bit unlucky in the end of second
1," I think she also started to play better, more aggressive"
1,"Then third set, yeah, my body felt a little bit tired, but I gave everything today"
0, She was just the better one in the end
0,It's been such a strong year for you
0," Curious what it means to be in Zhuhai, to have been able to qualify for a year-end event, and what that does for your confidence and motivation heading into next season"
0,I think a lot
0, I really see it is a bonus on a great year
0, I think last year I ended the year outside top 100
0, I was 104 starting the year and now I'm 22
0, I am really happy with the year I had
0," My second career title, my semifinal in Paris"
0,So I have some great memories about last year
0," I'm really happy to have, yeah, this tournament as a bonus at the end of the season"
1,"Being that it's a round robin format, the fact you won a set gives you a perhaps a chance to go into the semifinal"
1, What will you take into your next match against Vesnina
1,"Well, it was also funny that I never played against Svitolina or Vesnina, so both first time"
0, It was really nice
0," I think the only two players here that I never played, so that was really, really nice for me"
0,"Yeah, I think in this format it's just like another match"
0," Maybe it's going to be my last match of the year, maybe not"
0," I am just going to put all my energy in there and give everything, and then we'll see what happens after the matches"
0,You practice with Zhang Shuai way before the match
0, Are you good friends
0,"Well, if she ask me to warm up again, of course"
0, I think it was fun
0, The warmup was nice
0, I watch her match and she played unbelievable match
0,"Yeah, I'm happy for her"
0,Two keys here for today
1," I think that you did great serving, and for the whole year you had a little over 30 aces; for this match you got seven"
1, You did a lot of volleys when you were trying to get back into the game
0, Can you comment on those two keys
1,"Yes, I always think that serving is something that I need to improve"
0, I did spend a lot of time practicing
1," Today I don't think my serving was particularly good, although more aces than the previous match"
0, But for my standard I don't think I did better than the last one
1,"Although I didn't have as many aces in my last match, my first serve was better and I won more points on my first serve"
0, Today I missed quite a few first serves
1, For my second serves because my opponent played very aggressively
1,It would be better if my first serve was better so that I can win my games more easily
1," Of course more volleys, that is also something my coach, Liu Shuo, always told me to do"
0,"I'm pretty happy that I can beat a powerful opponent, because this was never my thing"
0, Since the day I started my career it was not my style
0, I was a relatively weaker kid; now I am still not very strong
1, That's why I am so happy that I can beat someone that powerful and aggressive
0,After today's match you will be qualified for the semifinals
0," Your ranking at the moment, your year-end ranking might be breaking a record soon"
0," At the beginning of the year you were still outside the top 100, and now at the end of the year you are in the top 30"
0," Looking back at this year, do you think the result itself impresses you more or what you have done impresses you more"
0,I feel the lower you were the more space you will have for improvement
0, If I were out of top 1000 I would be enjoying even more
0," So my ranking was about 200 the end of last year, exactly 200 at this moment last year"
0," I am 20 something today, so one zero gone"
0,What happened during the past 52 weeks I was very amazed at and I felt like this is a fairy tale
0, It seems that everything nice took place in the past year
0, I am so happy for myself
0," I was in the top 30, down to 200, then back to the top 30"
0, I certainly hope this is not the end for me
0, I hope that I can break more records
0,"First of all, congratulations on the semifinal"
0," Although you won the match, during the match there were issues with the audience and volunteers"
0, Did that affect your performance
0, How did you deal with such disturbance
0,I didn't feel there was much -- my slow start wasn't because of the audience
0," My opponent was playing very well, and she is a very different opponent with fast shots"
0, I think this is very natural
0,"I was glad that after the beginning I was able to win the match and also that even though the beginning wasn't that great, I could still come back"
0," For me it was a very big improvement, especially when my opponent was playing so well"
1,"I got broken, and if it was me before I wouldn't have been able to come back"
0,"Of course when we are speaking of the audience, I do feel some of them are a bit unbelievable"
0," They were moving all the time, even though they were told to sit down"
0, Why did you keep moving
0,Also many volunteers kept moving as well and crouching down
1," To be honest, Babos had a lot of serves over 180 kilometers an hour"
0, I don't think the radar gun was correct because I don't think my speed was only 140
0,So her speed was definitely more than 180
0, Some of them even over 190 or even 200
1, So I was here preparing to return this serve that is almost 200 kilometers an hour and you were moving there
1,How was I supposed to return that kind of serve
0," Similarly, this didn't only happen to me, but I can speak the language that everybody understands here"
0,But my opponent also believes there were things against the rules or that were impolite
0, I do feel that this needs to be improved
1, I was squatting there ready to return the serve for like seven or eight seconds
1, Because of the moving audience my opponent could not make the serve
0," She had to wait, so I had to wait more, for like 20 seconds, and my legs were sore"
1,Then all the sudden she served
0, Don't you think that's a huge impact
0, I am happy that people are here cheering me on
0, I believe you wanted me to win
0, Am I right
0,"If you do want me to win, please be quiet and sit down"
0, At least do sit down when you should be sitting down
0, Why can you not wait for the end of those two games
0, Why did you have to stand up immediately
0, That's something I couldn't understand
1,Over the past few years you're trying to become a more aggressive player
1, Kvitova is one of the top aggressive players in the world
0, What difference do you see between you and what do you think of your performance today
0, Did you do your best
1,"Yes, we know that Kvitova is one of the top aggressive players"
0, She's the top one because she can finish the game before you are even picking up
0,"Although you have more games to go before the end of this year, this is pretty much the end of the season"
0, We know that your coach mentioned that for the next season there will be no pressure on you
0, What is your expectation for the next season
0,I will just keep enjoying playing tennis
0,"This is the end of the season, and you mentioned during the off-season you will be practicing more"
0," I would like to know, where you going to make the most improvement"
0,All of them
0,"Questions in English, please"
0,"I'm just curious, after the year you've had, how do you sum up 2016"
0, What did you make of your week in Zhuhai after so many great wins and making the semifinal
0,I'm pretty happy about myself for the year
0,I just have one more announcement to make
0, I just got an SMS text message from a friend yesterday and got me very upset and guilty actually
0," I won't mention the name and the content; however, I would like to say that we are having this wonderful event in such a beautiful city in Zhuhai"
0,I don't want to ruin the event because of me or because of what I said about the moving or talking audience during the game
0," After the game during the press conference, I have never actually encountered so many questions on just one single issue"
0," I know there was a huge media coverage after the press conference as well, so I feel very guilty and upset"
0,"Also, I don't believe the staff member of the event should be the ones to be blamed"
0, They're all innocent and they have done a lot
0, They're taking responsibilities that they should not take
0,"I believe that both for myself and for my dear media friends, can we please stay positive for the future events and help the events, because it's such a rare opportunity to have this event in China"
0, We know how much our sponsor and the Association of Tennis in China spent for the establishment and construction of this tennis center
0, I really don't want the event to be ruined because of me or you or anyone here
0,All we want for the Chinese tennis industry to become better
0, That's why I would like to say that I like all the staff members here
0, They have done a great job
0, I saw their efforts
0," I saw the court here, the surroundings here"
0," Everything here is amazing, so let's stay positive"
0,What happened during the matches here also happened in other countries as well
0, I always do the same
0, I'm not just doing it here
0, Any it also never happened that so many questions were asked for just one single issue during the press conference after any given match
0,So we are all in this tennis world
0, I am the player and you're journalists
0," Again, let's try our best to make China's tennis a better world"
0, Let's all work towards that goal
0,I have always been me
0, I don't have that temper because of my loss
0, Just because what I said or just because you asked
0, I don't want this to be the reason why anyone else got blamed
0, Let's respect each other
0," We know that, again, many staff members, because of what was said and what we did, they were taking responsibilities that they should not take"
0,"Again, we're in such a beautiful city"
0, Let's stay positive and respect each other
0, Thank you
0,"Congratulations, Johanna"
0,Thank you
0,"Coming from Singapore, I'm wondering, what is your mindset approaching this event"
0," Does it feel like, Okay, Zhuhai is great, but I'm going to think about next year"
0,"Well, right now I'm really happy to be here"
0," Coming from Singapore, obviously I was -- I felt really lucky and excited to be able to play and finish off the season playing"
0,"So, yeah, no, I'm very happy to be here"
0, Obviously Singapore is a pinnacle for our tour
0," In terms of wanting to be involved if such events, I definitely would love the opportunity next year"
0," If I'm involved here again, I still feel pretty good about that"
0,Just talk a little bit about your semifinal
1, You're going to face Elina in the semifinal tomorrow
0,"Well, I don't believe I've played her before, although I found out sometimes before I've played a player and I can't remember"
0, As far as I know I don't think I've played her
0,She I think made semis here last year and definitely enjoys playing here
0, She's a great player
0, She's had a great year
0, Actually a great number of years
0,She's been consistently in the kind of top 30 for a while now
0, It'll be a tough one
0, Looking forward to the challenge
1,"Some people made a comparison between and you Elina, because in the year of 2010 she was also an alternate to the WTA Tour Championship and did not receive a chance to play, and the next year she won a Grand Slam title"
1, [Sic] They said Joanna probably going to win a major title this year
0, What do you think of that
0,"Well, if they have a crystal ball and saw that, that's brilliant"
0," Unfortunately, I don't think such a crystal ball exists"
0, For now I really am just enjoying playing
0, I'm enjoying my journey
0, Next year will bring its own challenges
0, I'm looking forward to them
0,"In terms of how results will go, that remains to be seen"
1,Navarro said at the moment she really felt exhausted because she was away from home for too long; she needs to go home and get the energy back
0, Do you feel tired right now physically or mentally
0,I think if you ask every player right now they are definitely under a considerable amount of fatigue
0, It's the end of our season and our season is a long one
0,So I think everyone is in the same boat
0," I still feel very motivated to play, so I think that is the main thing"
0,Otherwise the rest of it is management
0, Just managing your energy levels and managing your body
0,"I notice between 2012 and 2014 your year-end ranking is always between 101 and 50; last year into top 50, and now you secure top 10"
0, You mention hard working the other day
0, I believe lots of girls work very hard
0, What's the magic button
0, What happened in the past two years
0,"There is no magic button, and I sound like a broken record with this"
0, I promise you there is none
0,"I think, like I said numerous times, for me personally, on my journey, it was about just gaining experience and going through certain situations to keep developing myself as a player and also as is person off court"
0,"So I felt like I needed to mature in many different areas to be able to deal with the pressures that come with performing week in, week out on the tour"
0,"Obviously that doesn't guarantee that you will always perform well, but definitely gives you the best chance to do so"
0,Quick question about the match
0, Pretty decisive in your favor
0," How do you feel you're playing right now, and what do you feel like you did to get the match won so decisively"
0,I think I just did a really good job playing quite consistently at a high level throughout the match
0, I don't think I gave her much breathing room
0, That always works in a players' favor
0, And both for me and against me when players do it against me
0,So I was quite happy with that
0, I thought I played quite freely
0, I really enjoyed being out there
0, I really enjoyed just playing tennis
0,So I think that really came through today
1,Earlier this year you play Shenzhen Open and a lost to a Chinese player
0, A volunteer saw you sitting on the ground after the match and took a picture of you
0, Looks like you were pretty upset
0," Now when you look back, how do you summarize your performance of the season 2016"
0,"Sorry, I didn't quite understand"
0,Is it true
0, A volunteer saw you after the match sitting on the ground
0, Seemed like you were crying at that time; is it true
0,I don't know
0, That was at the beginning of the year
0," In Shenzhen, right"
0,Yeah
0,"Yeah, I had a really tough first round"
0, Possibly
0,  I don't know
0, Possibly
0,What's the question
0,How do you summarize your performance of this season
0,What does your question have to do with the first part
0,"Looking back, what you have been throughout those years, did you expect that"
0," I mean, in January in Shenzhen did you expect that you are now a top player now"
0,"Quite honestly, I've enjoyed every part of my year"
0, Expectation of being where I am
0," No, I was not -- I didn't have a goal of this"
0," I didn't say, This is where I want to be at the end of the year"
0,"But my goal was to keep getting better and keep improving and keep, yeah, keep going in a positive direction with every opportunity that I got"
0,I felt I was able to maximize my opportunities this year
0, And not necessarily win all of those matches; I lost plenty of matches this year
0, I am sure I cried plenty as well
0,We apply ourselves to our sport 100%
0, I feel very blessed and very fortunate to have had the year that I have had
0,"So, yeah, I think 2016 has been very kind to me"
0,"As the most-improved player of this season, if you have to name one specific thing you have improved the most, what would it be"
0,"Well, obviously it's a combination of things, but I guess my tolerance"
0, My tolerance to be able to both mentally and physically be able to recover on a consistent basis
0," Because I did play a lot of matches this year, a lot very full weeks"
0,"I think my ability to keep, yeah, recovering and keeping myself in a good state of mind"
1,Steffi Graf will be here tomorrow
0, She's the ambassador of this tournament and clearly one of the greatest tennis player in history
0," In your opinion, what kind of person and player to you"
0,Sorry
1,"In your opinion, how do you think about Steffi Graf achievement, and not just in tennis, and, you know, generally"
0,"Well, she's quite incredible"
0, I think her achievements speak for themselves
0, I don't think I'm in any position to pass judgment on them
0," Yeah, she's one of the greatest players of all-time in our sport"
0,"For me growing up, I definitely looked up to her in terms of her image and just the class act that she was both on and off court"
0,"So, if I get the chance to meet her, I would be very, very excited"
0,Just a few
0, Late start this week
0, Curious how the match went and what you think was the key to your win today
0,"Yeah, it was good to start only today, to have some single practice and get used to the condition"
0,"But it was also hard, because some people are already out, some are already qualifying, and you're only starting"
0,"No, I think it was really good and solid match from me"
0, The last singles match was not very good
0, It was kind of complicated
0, So I'm happy the way I played today and the way I came back in the first set
1," I was on 4-1, double break"
0,So it was good to win the first one
1," After I got broken on the first game after two game point for me, but I came back strong and I was really calm all the way"
0,So you were pretty focused on doubles last week
0, How do you feel the made the shift from doubles to singles
0,Obviously good
0,"  Yeah, but it's never easy"
1," We have to focus only on doubles in Singapore, and most of the time with Kristina we never practice doubles"
0, We always practice our singles
0, So it was kind of the first week we did some doubles drills
0,"It was really intense match over there in Singapore, really tough"
0, We did semis
0," It was good, but we don't know, it was kind of so-so"
0, But we gave everything
0," The other one was better, so after I just tried to focus on my single preparation"
0,"Here I have three days, so it was kind of the supervisor in the tournament to let me play today"
1,You have Konta next
0, You've played twice this year
0, How will you prepare for your next match
0,It will be really tough match
0, Last time I played against her it was straight win and not a lot of games
0,So I think she had a great year
1, She has a lot of confidence behind her and she's playing some aggressive game
0,So I will try to play my best
0," If I can get some inspiration about today, it may help me tomorrow"
0,Strong start today
0," Curious, what do you think the key was in the end and what made the difference for you"
0,"Yeah, I definitely did start off really well"
0," I was really, I felt, dictating a lot on my terms"
0,I think she did a really great job of putting herself back into the match
0, She also raised her level; I definitely dropped mine a bit
0,I think the momentum just shifted and then I couldn't quite recover it
0, She kept running away with it really
0, Really wasn't in it much at the end
0, It was interesting
0,"But, yeah, no, I think she played a more consistently high-level match than I did"
0,Still a very high-quality match throughout
1," A lot of winners, especially in the third set"
0, Does that provide any kind of solace in the aftermath of a loss for you
0,"Quite honestly, I am happy with how I did today"
0, I think I did the best that I could with the cards that I had with everything
0, I really left it all out there
0, There wasn't any more I could have given
0,Obviously would've been nice to have a couple things go my way a bit more
0," Quite honestly, she did a great job of really pulling the match towards her end"
0,"Yeah, I couldn't have done much more today"
0,Talking about your year
0,Are we just having a conversation
0,We've been talking about your year for the last couple weeks
0, You could do a lot of micro-assessing of your season
0," At what point, if at all, will you look at the whole picture and take away some major themes or things you want to improve on, or have the small steps throughout your season made that easier going into the off-season"
0,"I guess because we are continuously looking to get better, so after each match we already look to be better the next day"
0," So I guess it's not so much of a, Let's look at everything we did and let's see what we can improve on"
0, It's a continuous process
0,We will enjoy the year we had together as a team
0, I think everyone is very pleased with the progress we've made
0,"Then equally, I think all of us are really excited to just keep improving come the pre-season and next year"
0,"Lastly, what do you take away from this week in Zhuhai, and how soon do you head to Rome for vacation"
